Timestamp,Tool,Operation,State,Number_of_Devices,Device_Names,Execution_Time,CPU_Usage,Memory_Usage_MB,Memory_Usage_Percent,Network_Bytes_Sent,Network_Bytes_Received,Disk_IO_Bytes,Throughput
2024-11-05 02:24:14,Salt,remove,remove_one_change,6,"cisco5-65001,cisco4-65002,arista9-65001,arista11-65002,juniper1-65001,juniper1-65002",16.58,6.78,12.22,0.32,183963,240417,15224832,11094.72
2024-11-05 02:24:54,Salt,remove,remove_one_change,6,"cisco5-65001,cisco4-65002,arista9-65001,arista11-65002,juniper1-65001,juniper1-65002",17.16,7.49,12.23,0.32,186186,243297,5066752,10848.44
2024-11-05 02:25:34,Salt,remove,remove_one_change,6,"cisco5-65001,cisco4-65002,arista9-65001,arista11-65002,juniper1-65001,juniper1-65002",16.32,5.82,12.23,0.32,185323,242146,2019328,11358.30
2024-11-05 02:26:14,Salt,remove,remove_one_change,6,"cisco5-65001,cisco4-65002,arista9-65001,arista11-65002,juniper1-65001,juniper1-65002",16.26,5.84,12.23,0.32,187934,241613,14151680,11554.77
2024-11-05 02:26:54,Salt,remove,remove_one_change,6,"cisco5-65001,cisco4-65002,arista9-65001,arista11-65002,juniper1-65001,juniper1-65002",17.01,6.41,12.23,0.32,192317,249472,31592448,11305.47
2024-11-05 02:27:34,Salt,remove,remove_one_change,6,"cisco5-65001,cisco4-65002,arista9-65001,arista11-65002,juniper1-65001,juniper1-65002",16.81,6.81,12.23,0.32,195856,249633,671744,11648.75
2024-11-05 02:28:15,Salt,remove,remove_one_change,6,"cisco5-65001,cisco4-65002,arista9-65001,arista11-65002,juniper1-65001,juniper1-65002",17.43,7.00,12.23,0.32,204814,257749,630784,11748.60
2024-11-05 02:28:55,Salt,remove,remove_one_change,6,"cisco5-65001,cisco4-65002,arista9-65001,arista11-65002,juniper1-65001,juniper1-65002",17.57,6.74,12.24,0.32,194504,251977,18538496,11072.82
2024-11-05 02:29:36,Salt,remove,remove_one_change,6,"cisco5-65001,cisco4-65002,arista9-65001,arista11-65002,juniper1-65001,juniper1-65002",17.80,8.98,12.24,0.32,223666,281451,25444352,12566.68
2024-11-05 02:30:16,Salt,remove,remove_one_change,6,"cisco5-65001,cisco4-65002,arista9-65001,arista11-65002,juniper1-65001,juniper1-65002",16.84,5.67,12.24,0.32,184804,243037,458752,10974.67
